"Gene","entrez","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NTS","4922",66.0293459064858,5.76372243591032,0.704078592864578,8.18619184608402,2.69621813816401e-16,1.31811364229493e-13
"CIBAR2","339145",5.74870280696694,5.52790514373708,1.25351804004383,4.40991271537169,1.0341229266199e-05,0.000132931956154821
"STOML3","161003",7.39434799739277,5.33836936253491,1.1523735446043,4.63249906033549,3.61277975876216e-06,5.58557091667077e-05
"TBX5","6910",6.84769501455682,5.25480940552629,0.710536001144268,7.39555687124057,1.40816873616334e-13,2.95696533000527e-11
"LTF","4057",136.525505935663,4.86794806469039,0.621539128588084,7.83208625295827,4.79840145877892e-15,1.5638790087737e-12
"LOC102725191","102725191",4.007095161341,4.63889218979109,0.969373163280646,4.78545555572397,1.70599935807113e-06,3.01635685152066e-05
"FAM183A","440585",9.46861145449009,4.35636831922113,0.733439959319352,5.93963863553867,2.85651025517327e-09,1.32997757237889e-07
"FNDC1-AS1","101929122",3.02291855098658,4.21961936829002,0.940538913072467,4.48638467759484,7.24418986125184e-06,0.000100024806875043
"DNAAF6","139212",2.73843039663106,4.04421669016265,0.976932134248212,4.13971098747287,3.47743645625971e-05,0.000366490880865107
"LOC101927413","101927413",2.46265345087291,3.8962479412863,0.672513397563716,5.7935618166137,6.89091050116403e-09,2.80732822604714e-07
"AVP","551",3.21061619385682,3.87625967664749,0.976306423003559,3.97033102038023,7.17728449119369e-05,0.000657621178930648
"SERPINA3","12",1080.40802253842,3.87521797945561,0.510843645425188,7.58591794996327,3.30141302658359e-14,8.33021054643125e-12
"DAO","1610",20.8419321416324,3.79720026089147,0.513793125355342,7.39052368259172,1.46251647093736e-13,3.05061435617921e-11
"PICSAR","378825",2.30056063314944,3.77411621646486,0.804738864642645,4.68986447938091,2.73386054114162e-06,4.44328469658209e-05
"LOC105376391","105376391",4.02626862801153,3.73769153167054,0.65305394864996,5.72340392305622,1.04410624586468e-08,4.02811297418175e-07
"CHRNA1","1134",25.3541473426721,3.58466639657234,0.527143406966042,6.80017306334871,1.04493547533651e-11,1.16076773184297e-09
"RAX","30062",2.46960810840763,3.56569705197396,0.835331616519161,4.26860061496567,1.9670309855476e-05,0.000228704814105586
"HOATZ","399949",7.50532340019267,3.55828212150987,0.798708819607708,4.45504298206891,8.38763889593992e-06,0.000112342656582264
"LINP1","108570035",1.19767470866355,3.46351797844938,1.22031339776508,2.83822007100191,0.0045365892288886,0.018980380804114
"LOC102724036","102724036",12.5098090586177,3.40101620384233,0.540089042888592,6.29713979319495,3.03187837108217e-10,1.98454833628491e-08
